,premise,hypothesis,label
18187,우리의 연구는 기관들이 직원들이 결정을 내릴 수 있는 권한을 위임하는 정도와 그들이 직원들에게 결과에 대한 책임을 묻는 정도를 개선할 수 있다는 것을 보여주었다,우리의 연구는 기관들이 권한을 위임하는 정도를 개선할 수 없다는 것을 보여주었다.,contradiction
78421,우리의 연구는 기관들이 직원들이 결정을 내릴 수 있는 권한을 위임하는 정도와 그들이 직원들에게 결과에 대한 책임을 묻는 정도를 개선할 수 있다는 것을 보여주었다,우리의 연구는 기관들이 고객들에게 무료로 뜨거운 식사를 제공하는 정도를 향상시킬 수 있다는 것을 보여주었다.,neutral
115942,우리의 연구는 기관들이 직원들이 결정을 내릴 수 있는 권한을 위임하는 정도와 그들이 직원들에게 결과에 대한 책임을 묻는 정도를 개선할 수 있다는 것을 보여주었다,우리의 연구는 기관들이 권한을 위임하는 정도를 향상시킬 수 있다는 것을 보여주었다.,entailment
13487,워싱턴포스트WP는 클린턴의 해외여행이 이번 스캔들로 관심을 산만하게 할 것이라고 보도했다,워싱턴 포스트는 모든 사람들이 클린턴 스캔들에 대해 잊어버릴 것이라고 말한다.,neutral
287885,워싱턴포스트WP는 클린턴의 해외여행이 이번 스캔들로 관심을 산만하게 할 것이라고 보도했다,워싱턴 포스트는 사람들이 항상 클린턴 스캔들을 기억할 것이라고 말한다.,contradiction
384608,워싱턴포스트WP는 클린턴의 해외여행이 이번 스캔들로 관심을 산만하게 할 것이라고 보도했다,워싱턴포스트(WP)는 클린턴의 스캔들이 번질 것이라고 보도했다.,entailment
162212,정원의 경계 안에는 플라네타륨과 전시뿐만 아니라 우주 테마파크가 있다,정원에 위치한 우주 테마파크는 자주 방문한다.,neutral
189402,정원의 경계 안에는 플라네타륨과 전시뿐만 아니라 우주 테마파크가 있다,플라네타륨과 사랑스러운 전시회를 찾기 위해 정원으로 향하라.,entailment
331367,정원의 경계 안에는 플라네타륨과 전시뿐만 아니라 우주 테마파크가 있다,플라네타륨은 정원의 경계 밖에 위치해 있다.,contradiction
21605,아무도 현명한 사람을 좋아하지 않는다,모두가 현명한 사람을 싫어해요.,entailment
53325,아무도 현명한 사람을 좋아하지 않는다,누구나 비꼬는 사람을 좋아한다.,contradiction
79499,아무도 현명한 사람을 좋아하지 않는다,스마트 알렉은 사람들에게 인기가 없다.,neutral
80734,아무도 현명한 사람을 좋아하지 않는다,아무도 비꼬는 얼간이를 좋아하지 않는다.,neutral
134059,아무도 현명한 사람을 좋아하지 않는다,현명한 평가가 세상을 지배한다.,contradiction
141405,아무도 현명한 사람을 좋아하지 않는다,모든 사람들은 누군가가 똑똑한 알렉일 때를 좋아한다.,contradiction
227544,아무도 현명한 사람을 좋아하지 않는다,누군가가 똑똑한 알렉일 때 어떤 몸도 좋아하지 않는다.,entailment
308741,아무도 현명한 사람을 좋아하지 않는다,아무도 똑똑한 알렉을 좋아하지 않는다.,entailment
332158,아무도 현명한 사람을 좋아하지 않는다,어떤 몸도 누군가가 친구들에게 똑똑한 알렉일 때 좋아하지 않는다.,neutral
82432,그래서 거기에는 상당한 차이가 있었습니다,그들은 모두 거의 똑같았다.,contradiction
94039,그래서 거기에는 상당한 차이가 있었습니다,"다행히도, 그 차이점들은 즉시 확인되고 해결되었다.",neutral
106834,그래서 거기에는 상당한 차이가 있었습니다,그래서 거기에는 상당한 차이가 있었다.,entailment
195223,당신과의 대화도 좋았어요,언제 다시 얘기했으면 좋겠어요.,neutral
232812,당신과의 대화도 좋았어요,다시는 너와 얘기하고 싶지 않아.,contradiction
268091,당신과의 대화도 좋았어요,너랑 얘기해서 정말 좋았어.,entailment
105613,그의 미소는 확실히 매력적이었다,"그는 거의 미소를 짓지 않았지만, 그렇게 했을 때 그는 소름끼치고 불쾌해 보였다.",contradiction
203024,그의 미소는 확실히 매력적이었다,그의 미소가 완벽한 이빨을 뽐냈다.,neutral
327156,그의 미소는 확실히 매력적이었다,그의 미소는 훌륭해 보였다.,entailment
276326,그의 두피에는 오래된 대본의 문신이 줄지어 있었다,그는 두피에 다양한 성경 구절 문신을 새겼다.,neutral
336918,그의 두피에는 오래된 대본의 문신이 줄지어 있었다,그는 머리에 문신을 새겼다.,entailment
337873,그의 두피에는 오래된 대본의 문신이 줄지어 있었다,그가 가진 유일한 문신은 그의 발에 있었다.,contradiction
296062,우리가 끝까지 해낼 필요는 없어,전국을 반밖에 못 건너도 괜찮아.,neutral
309837,우리가 끝까지 해낼 필요는 없어,우리는 거기까지 가는 내내 그것을 만들어야 한다.,contradiction
314601,우리가 끝까지 해낼 필요는 없어,우리가 끝까지 해낼 필요는 없다.,entailment
70890,7월 16일은 월요일이었다,7월 16일은 월요일이다,entailment
121984,7월 16일은 월요일이었다,7월 16일은 목요일이다,contradiction
301905,7월 16일은 월요일이었다,7월 16일은 의미 있는 날입니다,neutral
42188,그 동안 그들은 담론을 높이는 경향이 없다,그들은 그 동안 담론을 높이려고 하지 않는다.,entailment
169949,그 동안 그들은 담론을 높이는 경향이 없다,"그들은 그 동안 담론을 높이려고 하지 않습니다,라고 내 친구는 말했다.",neutral
357188,그 동안 그들은 담론을 높이는 경향이 없다,그들은 그 동안 담론을 높이려고 노력한다.,contradiction
327125,지금 모든 것을 억제하고 있는 것은 경제다,경제는 다른 모든 것을 방해하고 있다.,entailment
332833,지금 모든 것을 억제하고 있는 것은 경제다,경제만이 모든 것을 추진하고 있다.,contradiction
340555,지금 모든 것을 억제하고 있는 것은 경제다,경제가 아니었다면 이 나라는 더 좋은 곳에 있을 것이다.,neutral
112158,아드린과 나는 세번과 함께 방어를 위해 동굴을 계획할 것이다,우리는 공격을 위해 산을 지도화하기 위해 일할 것이다.,contradiction
210811,아드린과 나는 세번과 함께 방어를 위해 동굴을 계획할 것이다,짠 동굴은 방어를 설치하기에 안전한 장소였다.,neutral
195203,시험방법,시험방법,contradiction
200697,시험방법,시험방법,neutral
247598,시험방법,시험방법,entailment
256629,당신은 그들이 우리를 보는 것을 원하지 않는다,당신은 우리가 그녀를 보기를 원한다.,contradiction
307964,당신은 그들이 우리를 보는 것을 원하지 않는다,"우리가 그들을 보는 걸 원치 않으면, 우리는 그들이 있는 괴짜들을 위해 그들의 내장을 뽑을 거야.",neutral
314614,당신은 그들이 우리를 보는 것을 원하지 않는다,당신은 우리가 그들을 보는 것을 원하지 않는다.,entailment
107652,마지막으로 설리번은 치료와 예방을 섞는다,"무언가의 치료와 무언가의 예방은 같지 않으며, 이것은 설리반에 의해 잘못되었다.",neutral
143695,마지막으로 설리번은 치료와 예방을 섞는다,설리반은 치료와 예방 사이에 차이가 있다는 것을 알고 그것을 알렸다.,contradiction
220405,마지막으로 설리번은 치료와 예방을 섞는다,설리반은 어떤 것을 예방하기 위해 치료법을 혼동했다.,entailment
42786,하이 스트리트의 대성당에서 가까운 거리에는 두 개의 세인트 오도엔 교회가 있습니다,성당에서 가까운 곳에 교회가 하나밖에 없다.,contradiction
319527,하이 스트리트의 대성당에서 가까운 거리에는 두 개의 세인트 오도엔 교회가 있습니다,성당에서 교회까지 걸어가는 데는 약 10분이 걸린다.,neutral
337460,하이 스트리트의 대성당에서 가까운 거리에는 두 개의 세인트 오도엔 교회가 있습니다,두 교회는 성당에서 조금 떨어진 곳에 있다.,entailment
11366,스트립과의 근접성은 관광객들에게도 인기가 있다,그것은 관광객들이 쉽게 찾을 수 있는 스트립에서 걸어갈 수 있는 거리에 있다.,neutral
108666,스트립과의 근접성은 관광객들에게도 인기가 있다,스트립과 가깝기 때문에 관광객들에게 인기가 있다.,entailment
356981,스트립과의 근접성은 관광객들에게도 인기가 있다,많은 관광객들이 그것을 보는 것은 스트립과는 거리가 멀다.,contradiction
53112,3일간의 약탈을 허용한 후 그는 상당한 관용과 좋은 감각으로 행동하면서 질서를 회복했다,"그는 병사들이 도시를 약탈하도록 허용했지만, 그는 신속하게 도시에 평화를 회복할 수 있었습니다.",entailment
104029,3일간의 약탈을 허용한 후 그는 상당한 관용과 좋은 감각으로 행동하면서 질서를 회복했다,그의 병사들은 3일간의 약탈 끝에 도시에서 가치 있는 모든 것을 훔쳤다.,neutral
364315,3일간의 약탈을 허용한 후 그는 상당한 관용과 좋은 감각으로 행동하면서 질서를 회복했다,그는 병사들이 그들이 원하는 만큼 오랫동안 도시를 약탈하도록 허락했다.,contradiction
113659,그 포옹은 짧고 충격적이었다,그것은 길지 않았지만 감정적 피해를 남기기에 충분했다.,entailment
240833,그 포옹은 짧고 충격적이었다,그들은 잡혀 있는 것을 개의치 않았다.,contradiction
329751,그 포옹은 짧고 충격적이었다,그들은 결코 같지 않았다.,neutral
41779,미국의 독점에는 24페이지 미만으로 구성된 모든 주소가 지정된 직접 메일이 포함되어 있다,직접 메일 목록은 400페이지가 넘는 페이지로 구성되어 있다.,contradiction
221086,미국의 독점에는 24페이지 미만으로 구성된 모든 주소가 지정된 직접 메일이 포함되어 있다,미국의 독점에는 24페이지 미만의 주소가 지정된 직접 메일이 모두 포함되어 있다.,entailment
370279,미국의 독점에는 24페이지 미만으로 구성된 모든 주소가 지정된 직접 메일이 포함되어 있다,미국의 독점은 24페이지 미만의 페이지에 모두 맞추기 위해 작은 글꼴로 써야 한다.,neutral
200996,민권 운동은 대단했다,민권 운동은 나라와 시민들에게 좋은 것이었다.,neutral
267529,민권 운동은 대단했다,민권 운동은 정말 좋았다.,entailment
366262,민권 운동은 대단했다,우리는 결코 민권 운동을 하지 말았어야 했다.,contradiction
165966,CIO는 그의 감사를 보여주기 위해 다른 수단을 사용한다,CIO는 그의 감사를 표시할 수 있는 같은 수단을 가지고 있다.,contradiction
252390,CIO는 그의 감사를 보여주기 위해 다른 수단을 사용한다,CIO는 감가상각을 나타내기 위해 비슷한 방법을 사용한다.,neutral
367632,CIO는 그의 감사를 보여주기 위해 다른 수단을 사용한다,CIO는 그의 감사를 보여주는 다른 방법을 사용한다.,entailment
159718,LSC는 또한 프로그램이 적격 고객에게 제공하는 지원의 결과또는 혜택를 측정하는 시스템을 개발할 것이다,고객들이 프로그램으로부터 받는 혜택을 측정하기 위해 시스템이 구축될 것이다.,entailment
296926,LSC는 또한 프로그램이 적격 고객에게 제공하는 지원의 결과또는 혜택를 측정하는 시스템을 개발할 것이다,자동화된 시스템은 이점을 계산할 때 LSC 시간을 절약할 수 있습니다.,neutral
342316,LSC는 또한 프로그램이 적격 고객에게 제공하는 지원의 결과또는 혜택를 측정하는 시스템을 개발할 것이다,고객을 도울 수 있는 지원 프로그램이 없습니다.,contradiction
54331,노예군에게는 쇠사슬이 없었다,노예 군대는 심하게 쇠사슬에 묶여 있었다.,contradiction
264922,노예군에게는 쇠사슬이 없었다,군대는 노예로 만들어졌지만 쇠사슬은 없었다.,entailment
275014,노예군에게는 쇠사슬이 없었다,군대는 쇠사슬이 없는 노예 아이들로 만들어졌다.,neutral
245634,그는 그녀를 불편하게 만들었고 그녀는 그것을 좋아하지 않았다,그녀는 불편해지는 것을 좋아한다.,contradiction
248835,그는 그녀를 불편하게 만들었고 그녀는 그것을 좋아하지 않았다,그녀는 그가 그녀의 가슴을 쳐다보는 방식을 즐기지 않았다.,neutral
301199,그는 그녀를 불편하게 만들었고 그녀는 그것을 좋아하지 않았다,그녀는 그가 그녀를 불편하게 만드는 것을 좋아하지 않았다.,entailment
28404,나는 떨어진 가운틀렛을 잡았다,떨어뜨렸을 때 곤경이 깨졌다.,neutral
167115,나는 떨어진 가운틀렛을 잡았다,관틀렛을 떨어뜨렸다.,entailment
381740,나는 떨어진 가운틀렛을 잡았다,가운틀렛은 선반 위에만 있었다.,contradiction
72251,창백한 얼굴을 한 우리의 동요하는 젊은이였다,그 젊은이는 무슨 일이 일어나고 있는지 몰라 화가 났다.,neutral
220519,창백한 얼굴을 한 우리의 동요하는 젊은이였다,피부가 검고 늙은 남자는 침착했다.,contradiction
328309,창백한 얼굴을 한 우리의 동요하는 젊은이였다,창백한 젊은이는 화가 났다.,entailment
236069,직장에서 무엇을 가지고 있는가,당신의 일에는 무엇이 있나요?,entailment
255591,직장에서 무엇을 가지고 있는가,너는 나와 같은 일을 하고 있니?,neutral
296552,직장에서 무엇을 가지고 있는가,왜 아직 직장을 구하지 않았니?,contradiction
126515,그는 전혀 생각이 없었다,그는 정말 전혀 몰랐다.,entailment
165032,그는 전혀 생각이 없었다,그는 아마 옳은 생각을 하고 있었다.,contradiction
331540,그는 전혀 생각이 없었다,그는 확신하지 못했다.,neutral
11028,그들은 약자의 신선한 피를 마셨다,그들은 약자의 신선한 피를 마셨다.,entailment
19068,그들은 약자의 신선한 피를 마셨다,그들은 강자의 신선한 피를 마셨다.,contradiction
210676,그들은 약자의 신선한 피를 마셨다,그들은 스스로 활력을 되찾기 위해 피를 마셨다.,neutral
112234,이곳 수녀원에 있는 수녀들은 그들의 은둔을 보존한다; 방문객들은 들어가기 위해 특별한 허가를 받아야 한다,수녀원의 수녀들은 그들의 고립을 유지한다; 안으로 들어오기를 원하는 사람들에 의해 특별한 허가를 받아야 한다.,entailment
324261,이곳 수녀원에 있는 수녀들은 그들의 은둔을 보존한다; 방문객들은 들어가기 위해 특별한 허가를 받아야 한다,수녀원에 거주하는 수녀들은 방문객들과 교류하지 않는다.,neutral
383726,이곳 수녀원에 있는 수녀들은 그들의 은둔을 보존한다; 방문객들은 들어가기 위해 특별한 허가를 받아야 한다,수녀들은 그들의 은둔을 보호하기 위해 어떠한 노력도 하지 않으며 방문객들은 허락을 받지 않고도 그들이 원할 때마다 오고 갈 수 있다.,contradiction
274474,거주지인 개인 숙소는 백악관의 2층과 3층을 차지하고 있다,그 거주지는 백악관의 최고층에 있다.,entailment
294357,거주지인 개인 숙소는 백악관의 2층과 3층을 차지하고 있다,그 거주지는 지하실에 있다.,contradiction
331308,거주지인 개인 숙소는 백악관의 2층과 3층을 차지하고 있다,"이 거주지는 백악관의 최고층에 있으며 약 5,000평방피트에 있다.",neutral
31259,미노아인들은 광대한 편백나무 숲에서 나온 나무가 배를 위한 재료를 제공하는 등 지중해의 위대한 해군력 중 하나로 발전했다,미노인들은 배를 만들기 위해 편백나무를 사용했습니다.,entailment
130794,미노아인들은 광대한 편백나무 숲에서 나온 나무가 배를 위한 재료를 제공하는 등 지중해의 위대한 해군력 중 하나로 발전했다,미노인들은 스티로폼으로 배를 만들었다.,contradiction
220425,미노아인들은 광대한 편백나무 숲에서 나온 나무가 배를 위한 재료를 제공하는 등 지중해의 위대한 해군력 중 하나로 발전했다,미노인들은 그들의 배를 밝은 녹색으로 칠했다.,neutral
130736,이제 나는 특히 베트남에서 일어난 일 이후 그것을 감사할 수 있다,나는 베트남에서 어떤 소식도 들어본 적이 없다.,contradiction
170210,이제 나는 특히 베트남에서 일어난 일 이후 그것을 감사할 수 있다,베트남 이야기는 나에게 영향을 주었고 나의 현재 생활관에 영향을 주었다.,neutral
295342,이제 나는 특히 베트남에서 일어난 일 이후 그것을 감사할 수 있다,"베트남에서 일어난 일에 대해 듣고 나면, 나는 그것에 감사할 수 있다.",entailment
184030,1812년의 전쟁은 축적된 미국의 불만에 의해 촉진되었다,1812년의 전쟁은 대략 4주 동안 지속되었다.,neutral
229872,1812년의 전쟁은 축적된 미국의 불만에 의해 촉진되었다,미국의 행복은 1812년의 전쟁을 가져왔다.,contradiction
232882,1812년의 전쟁은 축적된 미국의 불만에 의해 촉진되었다,미국에서 열린 슬픔은 1812년 전쟁을 일으킨 화재를 촉발시켰다.,entailment
100828,제2장부터 제10장까지는 획득과정에서의 구체적인 활동을 다루고 있다,취득은 한 장에서만 간략하게 언급된다.,contradiction
122002,제2장부터 제10장까지는 획득과정에서의 구체적인 활동을 다루고 있다,인수를 다루는 장은 9개다.,entailment
240162,제2장부터 제10장까지는 획득과정에서의 구체적인 활동을 다루고 있다,인수에 관한 많은 정보가 있다.,neutral
10652,진짜 벤 프랭클린이 말할 준비가 되었다고 그에게 말해라,누군가가 그와 이야기하고 싶어한다.,entailment
226881,진짜 벤 프랭클린이 말할 준비가 되었다고 그에게 말해라,벤 프랭클린은 아무에게도 할 말이 없다.,contradiction
384596,진짜 벤 프랭클린이 말할 준비가 되었다고 그에게 말해라,그는 그 사기꾼과 이야기하기를 원한다.,neutral
74554,네 자동차 배터리가 맞네요,"아니, 자동차 배터리가 아니라 뭐라고 부르는지 모르겠어.",contradiction
77103,네 자동차 배터리가 맞네요,"네, 자동차 배터리, 맞습니다.",entailment
81536,네 자동차 배터리가 맞네요,"그래, 그 멋진 하이브리드 자동차에 새 태양열 자동차 배터리를 넣었어.",neutral
153266,당신은 우리의 최고의 희망입니다,다른 선택의 여지가 없습니다.,neutral
375484,당신은 우리의 최고의 희망입니다,우리에게는 희망이 없다.,contradiction
70755,나는 농담이었다,나에 대한 어떤 것도 심각하지 않았다.,entailment
183954,나는 농담이었다,나는 아무것도 제대로 할 수 없었기 때문에 농담이었다.,neutral
340768,나는 농담이었다,나는 확고하고 확고하고 진지했다.,contradiction
12840,오늘날에는 30만 명 이상이 있다,30만 명의 사람들이 오늘 밖에서 시위를 하고 있다.,neutral
258204,오늘날에는 30만 명 이상이 있다,오늘은 30만 명이 넘습니다.,entailment
262161,오늘날에는 30만 명 이상이 있다,오늘날에는 30만 명도 안 된다.,contradiction
353503,학생들과 함께,학생들과 동행하여,entailment
364374,학생들과 함께,학생들과 강사들과 함께,neutral
376088,학생들과 함께,선생님들과 함께,contradiction
9526,3일간의 집중 훈련 후에 그들은 우등으로 그 과정을 마쳤다,그들은 열심히 훈련했지만 그 과정을 완수할 수 없었다.,contradiction
40570,3일간의 집중 훈련 후에 그들은 우등으로 그 과정을 마쳤다,그들은 3일간의 집중적인 훈련과 공부 끝에 몇 시간 만에 이 과정을 마쳤다.,neutral
240430,3일간의 집중 훈련 후에 그들은 우등으로 그 과정을 마쳤다,그들은 3일간의 집중 훈련 후에 몇 시간 동안 코스를 마쳤다.,entailment
110397,변호사가 방금 전화했어요,파이 제조업자가 전화를 걸었다.,contradiction
152167,변호사가 방금 전화했어요,그는 그 사건에 대해 이야기하고 싶었다.,neutral
153483,변호사가 방금 전화했어요,변호사가 전화를 걸었다.,entailment
44985,블라스터에 닿을 수 있습니다,발목까지 닿을 수 없어요.,contradiction
71487,블라스터에 닿을 수 있습니다,너는 네 블라스터에 닿았다.,entailment
159044,블라스터에 닿을 수 있습니다,네 블라스터에 닿아서 당장 그를 끝낼 수 있어!,neutral
63407,그는 심문이 필요한지 의심했다,그는 심문이 그만한 가치가 있을지 확신이 서지 않았다.,entailment
179578,그는 심문이 필요한지 의심했다,그는 심문을 하는 것이 모두에게 이익이 될 것이라고 결정했다.,contradiction
384062,그는 심문이 필요한지 의심했다,심문은 시간을 낭비하는 데만 도움이 될 것이기 때문에 그는 그것을 확신하지 못했다.,neutral
94635,그는 자신의 쇼가 에본 장애자들을 위해 클로즈캡션될 것이라고 말한다,그는 자신의 쇼에 가까운 캡션이 없을 것이라고 말했다.,contradiction
196169,그는 자신의 쇼가 에본 장애자들을 위해 클로즈캡션될 것이라고 말한다,그는 에보닉스를 말하는 사람들을 위해 아슬아슬한 자막을 보여줄 것이다.,entailment
279396,그는 자신의 쇼가 에본 장애자들을 위해 클로즈캡션될 것이라고 말한다,그는 그의 쇼가 갱들이 그들을 위해 친밀한 자막으로 이해하는데 도움을 줄 것이라고 말했다.,neutral
200457,색종이를 사용하는 사람이 있나요,아마 어떤 사람들은 색종이를 사용했을 것이다.,entailment
222322,색종이를 사용하는 사람이 있나요,색종이의 가장 흔한 색은 빨간색입니다.,neutral
272828,색종이를 사용하는 사람이 있나요,아무도 색종이를 사용하는 사람이 있는지 묻지 않는다.,contradiction
157924,벽에는 어두운 그림들이 악몽의 짐승들의 그림들이 있었다,벽에는 그림이 걸려 있었다.,entailment
173175,벽에는 어두운 그림들이 악몽의 짐승들의 그림들이 있었다,그림이 너무 많이 걸려 있어서 박물관처럼 보였다.,neutral
284455,벽에는 어두운 그림들이 악몽의 짐승들의 그림들이 있었다,벽은 텅 비어 있었다.,contradiction
145239,당신은 그 장소의 느낌을 얻기 위해 거리와 고속도로를 여행하는 대중들과 합류해야 한다,기차를 타면 그 장소에 대한 느낌이 좋다.,contradiction
181618,당신은 그 장소의 느낌을 얻기 위해 거리와 고속도로를 여행하는 대중들과 합류해야 한다,거리를 여행하면 인도의 삶이 얼마나 힘든지 알 수 있다.,neutral
236202,당신은 그 장소의 느낌을 얻기 위해 거리와 고속도로를 여행하는 대중들과 합류해야 한다,거리를 여행하면 그곳이 어떤 곳인지 알 수 있다.,entailment
67567,그레이 클라우드는 여행을 쉽게 할 수 있는 유일한 산이었다,회색 구름은 쉽게 다음 마을로 여행을 갈 수 있었다.,neutral
174995,그레이 클라우드는 여행을 쉽게 할 수 있는 유일한 산이었다,회색 구름은 쉽게 여행을 할 수 있었다.,entailment
339981,그레이 클라우드는 여행을 쉽게 할 수 있는 유일한 산이었다,회색 구름은 여행을 할 수 없을 것이다.,contradiction
67007,폴록은 그런 종류의 연구를 임상실험과 구별하는 방법을 물었다,폴락은 공부의 종류를 알 수 없다는 것을 알고 있었다.,contradiction
149984,폴록은 그런 종류의 연구를 임상실험과 구별하는 방법을 물었다,폴록은 연구 유형을 어떻게 말해야 하는지를 물었고 그 연구는 그가 방법을 보는 데 도움이 되었다.,neutral
191243,폴록은 그런 종류의 연구를 임상실험과 구별하는 방법을 물었다,폴록은 연구 유형을 어떻게 말해야 하는지 물었다.,entailment
103747,그거 좋네요,그것은 많은 도움이 된다.,neutral
178878,그거 좋네요,안됐군.,contradiction
235001,그거 좋네요,꽤 괜찮은데요.,entailment
275171,그거 좋네요,그것은 비열하지 않다.,entailment
324654,그거 좋네요,별로 좋지 않네요.,contradiction
328596,그거 좋네요,점심 사주셔서 감사합니다.,neutral
32524,그녀는 말을 할 수 없었다,그녀는 무슨 말을 해야 할지 막막했다.,neutral
65240,그녀는 말을 할 수 없었다,그녀는 쉬지 않고 말했다.,contradiction
373674,그녀는 말을 할 수 없었다,그녀는 말을 할 수 없었다.,entailment
152119,연구원들은 두 가지 유형의 연구를 사용하여 중요한 연관성을 발견했다,두 종류의 연구 모두 편견의 척도에 관한 한 같지 않다.,neutral
183792,연구원들은 두 가지 유형의 연구를 사용하여 중요한 연관성을 발견했다,적어도 두 가지 유형의 연구가 사용된다.,entailment
217525,연구원들은 두 가지 유형의 연구를 사용하여 중요한 연관성을 발견했다,두 가지 유형의 연구를 모두 사용할 때 발견된 연관성은 없다.,contradiction
37960,일요일에는 거의 모든 상점이 문을 닫는다,모든 상점은 평일에 문을 연다.,neutral
166465,일요일에는 거의 모든 상점이 문을 닫는다,대부분의 상점들은 일요일에 문을 닫는다.,entailment
336676,일요일에는 거의 모든 상점이 문을 닫는다,대부분의 상점들은 주말에 문을 연다.,contradiction
24895,젠틸렐로는 오랫동안 이 분야의 연구에 우선순위를 두는 것을 지지해 왔다고 말했다,젠틸렐로는 특정 분야의 연구에 찬성한다.,entailment
35959,젠틸렐로는 오랫동안 이 분야의 연구에 우선순위를 두는 것을 지지해 왔다고 말했다,젠틸렐로는 이 분야의 연구가 유리한 재정적 수익을 낼 것이라고 생각한다.,neutral
177179,젠틸렐로는 오랫동안 이 분야의 연구에 우선순위를 두는 것을 지지해 왔다고 말했다,이 연구 영역은 젠틸렐로에 의해 상실된 원인으로 결정된다.,contradiction
5190,나는 기다렸다,나는 기다리고 싶지 않았다.,entailment
65062,나는 기다렸다,나는 우편물이 배달되기를 기다렸다.,neutral
320933,나는 기다렸다,나는 그것을 기다리기를 거부했다.,contradiction
11264,완벽에 대한 그들의 사랑은 그들에게 도움이 된다,그들은 매우 엉성하고 신경쓰지 않는다.,contradiction
21927,완벽에 대한 그들의 사랑은 그들에게 도움이 된다,완벽주의는 항상 유익하다.,neutral
191431,완벽에 대한 그들의 사랑은 그들에게 도움이 된다,그들이 옳은 일을 하기 위해 필요로 하는 것은 그들에게 도움이 된다.,entailment
174629,역설적으로 그녀의 비평가들에게 굴복하는 것은 레노의 두려움 없는 독립에 대한 명성을 강화시킬 것이다,이 사건에서 리노의 비판자들은 정당한 주장을 하고 있다.,neutral
303485,역설적으로 그녀의 비평가들에게 굴복하는 것은 레노의 두려움 없는 독립에 대한 명성을 강화시킬 것이다,리노는 매우 독립적인 것으로 알려져 있다.,entailment
330100,역설적으로 그녀의 비평가들에게 굴복하는 것은 레노의 두려움 없는 독립에 대한 명성을 강화시킬 것이다,리노는 그녀의 독립으로 정확히 알려져 있지 않다.,contradiction
262737,배달의 가변 비용은 배달량에 따라 달라지므로 프랑스와 미국 간의 가변 비용 비교는 간단하다,배달의 가변적인 비용은 비행기에 얼마나 많은 글자가 있느냐에 달려 있다.,neutral
307955,배달의 가변 비용은 배달량에 따라 달라지므로 프랑스와 미국 간의 가변 비용 비교는 간단하다,배달의 가변적인 비용은 얼마나 많은 글자가 있느냐에 달려 있다.,entailment
385388,배달의 가변 비용은 배달량에 따라 달라지므로 프랑스와 미국 간의 가변 비용 비교는 간단하다,배달의 가변적인 비용은 얼마나 많은 주민들이 있느냐에 달려 있다.,contradiction
159651,기관고정 비용의 25가 장기적으로 부피에 따라 다르다고 가정하는 단가는 예에서 계산된다,고정 비용의 25%는 볼륨에 따라 다릅니다.,entailment
186067,기관고정 비용의 25가 장기적으로 부피에 따라 다르다고 가정하는 단가는 예에서 계산된다,고정 비용의 25%는 등록자 수에 따라 다르다.,neutral
211472,기관고정 비용의 25가 장기적으로 부피에 따라 다르다고 가정하는 단가는 예에서 계산된다,고정 비용은 절대 변하지 않습니다.,contradiction
121810,나는 그것이 그것과 관련이 있다고 생각하지 않는다,어떤 사람들은 그것이 그것과 관련이 있다고 믿을지도 모른다.,neutral
